TPS001,599991.821,600028.430,10.069,WL1
TPS002,599991.728,600024.914,10.061,WL1
TPS003,599990.217,600023.291,10.059,WL1
TPS004,599989.542,600023.145,9.649,WL1
TPS005,599978.794,600023.456,9.227,WL1
TPS006,599976.640,600022.121,9.496,WL1
TPS007,599977.239,600013.724,9.583,WL1
TPS008,599977.087,600008.559,9.617,WL1
TPS009,599976.251,600008.582,9.923,WL1
TPS0010,599975.665,599988.776,9.529,WL1
TPS0011,599975.394,599979.776,9.986,WL1
TPS0012,599975.358,599978.477,9.986,WL1
TPS0013,599975.063,599968.659,9.982,WL1
TPS0014,600019.798,599967.349,9.982,WL1
TPS0015,600021.920,599970.066,9.672,WL1
TPS0016,600022.588,599992.252,9.789,WL1
TPS0017,600023.280,600015.725,9.751,WL1
TPS0018,600022.313,600019.724,10.502,WL1
TPS0019,600016.746,600021.035,10.453,WL1
TPS0020,600016.793,600022.494,10.786,WL1
TPS0021,600016.841,600028.130,10.918,WL1
TPS0022,599999.165,600028.641,10.803,WL1
TPS0023,599992.294,600028.840,10.836,WL1
TPS0024,599982.395,600004.458,8.430,COL1
TPS0025,599982.549,600004.470,8.443,COL1
TPS0026,599982.599,600004.652,8.468,COL1
TPS0027,599982.708,600004.714,8.534,COL1
TPS0028,599982.836,600004.722,8.544,COL1
TPS0029,599982.846,600005.013,8.538,COL1
TPS0030,599989.384,600004.529,8.616,COL1
TPS0031,599989.541,600004.523,8.633,COL1
TPS0032,599989.547,600004.822,8.797,COL1
TPS0033,599996.090,600004.327,8.837,COL1
TPS0034,599996.235,600004.337,8.854,COL1
TPS0035,599996.241,600004.626,8.811,COL1
TPS0036,600002.803,600004.432,8.954,COL1
TPS0037,600002.794,600004.141,9.003,COL1
TPS0038,600002.942,600004.133,8.988,COL1
TPS0039,600009.506,600004.239,8.714,COL1
TPS0040,600009.571,600003.984,8.720,COL1
TPS0041,600009.643,600003.936,8.714,COL1
TPS0042,600016.200,600003.750,8.676,COL1
TPS0043,600016.227,600004.051,8.669,COL1
TPS0044,600016.347,600003.745,8.916,COL1
TPS0045,600017.332,600015.953,9.598,COL1
TPS0046,600016.721,600015.932,9.613,COL1
TPS0047,600016.575,600016.225,9.612,COL1
TPS0048,600010.018,600016.122,8.550,COL1
TPS0049,600009.871,600016.130,8.678,COL1
TPS0050,600009.879,600016.418,8.660,COL1
TPS0051,600003.309,600016.324,8.555,COL1
TPS0052,600003.165,600016.365,8.554,COL1
TPS0053,600003.168,600016.622,8.543,COL1
TPS0054,599996.621,600016.809,8.702,COL1
TPS0055,599996.611,600016.526,8.723,COL1
TPS0056,599996.463,600016.520,8.721,COL1
TPS0057,599989.908,600017.001,8.504,COL1
TPS0058,599989.899,600016.710,8.522,COL1
TPS0059,599989.750,600016.713,8.516,COL1
TPS0060,599983.201,600017.204,8.484,COL1
TPS0061,599983.191,600016.911,8.497,COL1
TPS0062,599983.037,600016.919,8.532,COL1
TPS0063,599996.639,600022.623,8.598,COL1
TPS0064,599996.787,600022.633,8.888,COL1
TPS0065,599996.806,600022.906,8.808,COL1
X,600000.000,600000.000,10.000,
TAR1,599997.351,599968.011,10.293,TAR
TAR2,599976.310,599999.030,10.191,TAR
TAR3,600003.314,600028.521,10.125,TAR
TAR4,600022.936,600000.554,10.047,TAR
RB5,600009.935,600016.078,10.240,TAR
RB6,599996.597,600016.732,9.620,TAR
